,company,index,company_size,company_year_founded,company_type,company_industry,company_revenue,company_review,company_interview_difficulty,company_benefits,company_location
1763,Wish,1763,501 to 1000 Employees,2011,Company - Private,Other Retail Stores,$1 to $2 billion (USD),, 2.9,4.5,"San Francisco, CA"
1764,EJM Development,1764,1 to 50 Employees,null,Company - Private,,$10 to $25 million (USD),,,2.0,"Los Angeles, CA"
1765,Belk,1765,1001 to 5000 Employees,1888,Company - Private,"Department, Clothing, & Shoe Stores",$2 to $5 billion (USD),, 2.2,3.2,"Charlotte, NC"
1766,adHawk,1766,51 to 200 Employees,2015,Company - Private,Advertising & Marketing,Unknown / Non-Applicable,, 2.5,3.6,"New York, NY"
1767,DSFederal,1767,51 to 200 Employees,2007,Company - Private,IT Services,$25 to $50 million (USD),, 2.3,3.5,"Rockville, MD"
1768,Morris 4x4 Center,1768,1 to 50 Employees,null,Company - Private,,$5 to $10 million (USD),,,3.0,"Pompano Beach, FL"
1769,IRI,1769,1001 to 5000 Employees,1979,Company - Private,Consulting,Unknown / Non-Applicable,, 2.8,3.1,"Chicago, IL"
1770,Alkanza,1770,51 to 200 Employees,null,Company - Private,,Less than $1 million (USD),,,0.0,"Redwood City, CA"
1771,Abercrombie & Fitch,1771,10000+ Employees,1892,Company - Public,"Department, Clothing, & Shoe Stores",$2 to $5 billion (USD),, 2.0,3.1,"New Albany, OH"
1772,Bonobos,1772,201 to 500 Employees,2007,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",Unknown / Non-Applicable,, 2.6,3.7,"New York, NY"
1773,Ro,1773,51 to 200 Employees,2017,Company - Private,Health Care Services & Hospitals,Unknown / Non-Applicable,, 2.7,5.0,"New York, NY"
1774,Condé Nast,1774,501 to 1000 Employees,1909,Company - Public,Publishing,Unknown / Non-Applicable,, 2.6,3.7,"New York, NY"
1775,University of Utah Hospitals & Clinics,1775,1001 to 5000 Employees,1965,Government,Health Care Services & Hospitals,$1 to $2 billion (USD),, 2.7,4.5,"Salt Lake City, UT"
1776,University Federal Credit Union,1776,501 to 1000 Employees,1936,Nonprofit Organization,Banks & Credit Unions,$50 to $100 million (USD),, 3.1,4.7,"Austin, TX"
1777,E,1777,,,,,,,,,
1778,Unified,1778,51 to 200 Employees,2011,Company - Private,Internet,Unknown / Non-Applicable,, 2.8,4.3,"New York, NY"
1779,TubeMogul,1779,501 to 1000 Employees,2007,Company - Public,Advertising & Marketing,Unknown / Non-Applicable,, 2.9,3.9,"Emeryville, CA"
1780,Veracity Software,1780,51 to 200 Employees,2010,Company - Private,IT Services,Unknown / Non-Applicable,, 4.0,5.0,"Iselin, NJ"
1781,Renew Financial,1781,201 to 500 Employees,2008,Company - Private,Lending,Unknown / Non-Applicable,, 2.2,4.0,"Oakland, CA"
1782,Eventbrite,1782,501 to 1000 Employees,2006,Company - Public,Internet,$100 to $500 million (USD),, 2.9,4.4,"San Francisco, CA"
1783,Community Psychiatric Clinic,1783,,,,,,,,,
1784,I prefer not to specify my employer,1784,,,,,,,,,
1785,Kapow,1785,51 to 200 Employees,2012,Company - Private,Internet,Unknown / Non-Applicable,, 3.0,3.3,"Chicago, IL"
1786,ABB,1786,10000+ Employees,1891,Company - Public,Electrical & Electronic Manufacturing,$10+ billion (USD),, 2.9,3.6,"Zürich, Switzerland"
1787,Truveris,1787,51 to 200 Employees,2009,Company - Private,IT Services,$10 to $25 million (USD),, 2.5,3.8,"New York, NY"
1788,Bloomreach,1788,51 to 200 Employees,2009,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,, 3.0,4.7,"Mountain View, CA"
1789,Infinity Insurance,1789,1001 to 5000 Employees,null,Subsidiary or Business Segment,Insurance Carriers,$1 to $2 billion (USD),, 2.6,3.7,"Birmingham, AL"
1790,Centris Marketing Science,1790,,,,,,,,3.0,
1791,MyVest,1791,51 to 200 Employees,2001,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 2.7,4.7,"San Francisco, CA"
1792,Namely,1792,201 to 500 Employees,2012,Company - Private,Enterprise Software & Network Solutions,$50 to $100 million (USD),, 2.7,3.8,"New York, NY"
1793,Reinalt-Thomas,1793,5001 to 10000 Employees,null,Company - Private,"Health, Beauty, & Fitness",$2 to $5 billion (USD),,,5.0,"Scottsdale, AZ"
1794,Prince  & Pauper,1794,,,,,,,,,
1795,Garmin,1795,10000+ Employees,1989,Company - Public,Consumer Products Manufacturing,$2 to $5 billion (USD),, 2.7,4.5,"Olathe, KS"
1796,Element Fleet Management,1796,1001 to 5000 Employees,null,Company - Public,Consulting,Unknown / Non-Applicable,, 2.8,2.9,"Toronto, Canada"
1797,Alameda Tech Solutions,1797,1 to 50 Employees,null,Other Organization,,Less than $1 million (USD),, 4.0,4.5,"Austin, TX"
1798,Florida International University,1798,1001 to 5000 Employees,1965,College / University,Colleges & Universities,$100 to $500 million (USD),, 2.3,4.0,"Miami, FL"
1799,Bitly,1799,51 to 200 Employees,2008,Company - Private,Computer Hardware & Software,$10 to $25 million (USD),, 3.2,4.5,"New York, NY"
1800,Entergy Louisiana,1800,1001 to 5000 Employees,1993,Subsidiary or Business Segment,Energy,$2 to $5 billion (USD),, 3.3,4.5,"Jefferson, LA"
1801,Vendors Exchange International,1801,201 to 500 Employees,1959,Company - Private,Building & Personnel Services,$10 to $25 million (USD),, 3.0,3.0,"Cleveland, OH"
1802,Amrock,1802,1001 to 5000 Employees,1997,Company - Private,Real Estate,$500 million to $1 billion (USD),, 2.8,4.5,"Detroit, MI"
1803,50onRed,1803,Unknown,2010,Company - Private,Advertising & Marketing,Unknown / Non-Applicable,, 3.0,4.3,"Philadelphia, PA"
1804,Diversant,1804,1001 to 5000 Employees,2005,Company - Private,Staffing & Outsourcing,$100 to $500 million (USD),, 2.6,2.4,"Red Bank, NJ"
1805,BMW,1805,10000+ Employees,1916,Company - Public,Transportation Equipment Manufacturing,$10+ billion (USD),, 2.8,4.0,"Munich, Germany"
1806,SunPower,1806,5001 to 10000 Employees,1985,Company - Public,Electrical & Electronic Manufacturing,$2 to $5 billion (USD),, 2.9,3.7,"San Jose, CA"
1807,Wipro,1807,10000+ Employees,1945,Company - Public,IT Services,$5 to $10 billion (USD),, 2.8,3.1,"Bangalore, India"
1808,Smith's Opticians,1808,1 to 50 Employees,null,Unknown,Health Care Services & Hospitals,Less than $1 million (USD),,,,"Houston, TX"
1809,Financial Network Analytics,1809,1 to 50 Employees,2014,Company - Private,Enterprise Software & Network Solutions,$1 to $5 million (USD),,,,"London, United Kingdom"
1810,iHerb,1810,1001 to 5000 Employees,1996,Company - Private,Drug & Health Stores,$1 to $2 billion (USD),, 2.7,3.6,"Pasadena, CA"
1811,Seattle Cancer Care Alliance,1811,1001 to 5000 Employees,1998,Hospital,Health Care Services & Hospitals,$100 to $500 million (USD),, 2.6,4.1,"Seattle, WA"
1812,Archer Daniels Midland (ADM),1812,10000+ Employees,1902,Company - Public,Food Production,$10+ billion (USD),, 2.8,4.0,"Chicago, IL"
1813,OSI Engineering,1813,51 to 200 Employees,2010,Company - Private,Staffing & Outsourcing,$25 to $50 million (USD),, 2.7,5.0,"Campbell, CA"
1814,KK Associates,1814,1 to 50 Employees,null,Company - Private,Staffing & Outsourcing,$1 to $5 million (USD),,,,"Dublin, OH"
1815,Kabam,1815,501 to 1000 Employees,2006,Company - Private,Video Games,Unknown / Non-Applicable,, 2.9,4.5,"Vancouver, Canada"
1816,Ninfo Systems,1816,1 to 50 Employees,null,Company - Private,,Less than $1 million (USD),,,,"Princeton, NJ"
1817,Varex Imaging ,1817,1001 to 5000 Employees,2016,Company - Public,Health Care Products Manufacturing,$500 million to $1 billion (USD),, 2.8,3.6,"Salt Lake City, UT"
1818,Availity,1818,501 to 1000 Employees,2001,Company - Private,Health Care Services & Hospitals,$100 to $500 million (USD),, 3.0,3.8,"Jacksonville, FL"
1819,G BY Guess,1819,10000+ Employees,1981,Company - Public,"Department, Clothing, & Shoe Stores",$2 to $5 billion (USD),, 2.2,3.4,"Los Angeles, CA"
1820,CAIDE Systems,1820,,,,,,,,,
1821,HealthLucid,1821,,,,,,, 3.0,,
1822,Lonely Planet,1822,201 to 500 Employees,1972,Company - Private,Travel Agencies,$50 to $100 million (USD),, 2.9,3.6,"Nashville, TN"
1823,McCormick & Company,1823,10000+ Employees,1889,Company - Public,Food & Beverage Manufacturing,$5 to $10 billion (USD),, 2.7,3.9,"Hunt Valley, MD"
1824,Cox Communications,1824,10000+ Employees,1962,Company - Private,"Cable, Internet & Telephone Providers",$10+ billion (USD),, 2.9,4.2,"Atlanta, GA"
1825,Saatchi & Saatchi LA,1825,501 to 1000 Employees,null,Contract,,$50 to $100 million (USD),, 2.7,4.2,"London, United Kingdom"
1826,The Noodle Companies,1826,51 to 200 Employees,2010,Company - Private,Internet,Less than $1 million (USD),, 2.9,4.3,"New York, NY"
1827,Jacobs,1827,10000+ Employees,1947,Company - Public,Architectural & Engineering Services,$10+ billion (USD),, 2.7,3.1,"Dallas, TX"
1828,Infosenseglobal,1828,201 to 500 Employees,2006,Company - Private,Enterprise Software & Network Solutions,$1 to $5 million (USD),, 4.0,0.0,"Houston, TX"
1829,United Installs,1829,,,,,,,,,
1830,REI,1830,5001 to 10000 Employees,1938,Company - Private,Sporting Goods Stores,$2 to $5 billion (USD),, 2.4,4.1,"Bellevue, WA"
1831,LEXISNEXIS RISK DATA MANAGEMENT,1831,Unknown,null,Subsidiary or Business Segment,,Less than $1 million (USD),, 2.0,,"Boca Raton, FL"
1832,Lloyds Banking Group,1832,10000+ Employees,1695,Company - Public,Banks & Credit Unions,Unknown / Non-Applicable,, 2.9,3.8,"London, United Kingdom"
1833,Mircal,1833,,,,,,,,,
1834,Apergy,1834,1001 to 5000 Employees,null,Company - Public,,Less than $1 million (USD),, 3.0,4.0,"The Woodlands, TX"
1835,AF Supply,1835,51 to 200 Employees,1934,Company - Private,General Merchandise & Superstores,$50 to $100 million (USD),, 2.0,1.0,"Brooklyn, NY"
1836,Forage Genetics International,1836,,,,,,, 2.0,,
1837,Quality Systems,1837,1001 to 5000 Employees,1974,Company - Public,Computer Hardware & Software,$500 million to $1 billion (USD),, 3.2,3.0,"Irvine, CA"
1838,American Broadcasting School,1838,,,,,,,,,
1839,Entech,1839,51 to 200 Employees,2007,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,, 2.2,2.8,"Malvern, PA"
1840,Divercity,1840,1 to 50 Employees,null,Company - Private,,Less than $1 million (USD),,,,"Los Angeles, CA"
1841,Star Tribune,1841,1001 to 5000 Employees,1865,Company - Private,News Outlet,$100 to $500 million (USD),, 2.7,3.8,"Minneapolis, MN"
1842,HelloFresh,1842,1001 to 5000 Employees,2011,Company - Public,"Health, Beauty, & Fitness",Unknown / Non-Applicable,, 2.6,3.8,"Berlin, Germany"
1843,Rexel,1843,Unknown,null,Company - Public,,Less than $1 million (USD),,,,"Birmingham, United Kingdom"
1844,HFI,1844,1001 to 5000 Employees,1993,Company - Private,Transportation Equipment Manufacturing,$100 to $500 million (USD),, 2.4,3.0,"Canal Winchester, OH"
1845,Carter Lumber,1845,201 to 500 Employees,1934,Company - Private,Wholesale,$100 to $500 million (USD),, 2.4,2.0,"Kent, OH"
1846,Life is Good,1846,51 to 200 Employees,1994,Company - Private,Other Retail Stores,$100 to $500 million (USD),, 2.5,3.7,"Boston, MA"
1847,TelligenTech,1847,,,,,,,,0.0,
1848,14 West,1848,1 to 50 Employees,2005,Company - Private,Wholesale,$1 to $5 million (USD),,,,"Waukesha, WI"
1849,ManTech,1849,5001 to 10000 Employees,1968,Company - Public,Research & Development,$1 to $2 billion (USD),, 2.5,3.6,"Herndon, VA"
1850,UpLift (CA),1850,51 to 200 Employees,2014,Company - Private,Lending,Unknown / Non-Applicable,, 3.0,2.5,"Menlo Park, CA"
1851,Center for Public Service Communications,1851,Unknown,null,Company - Private,,Less than $1 million (USD),,,,"Claiborne, MD"
1852,Avast Software,1852,1001 to 5000 Employees,null,Company - Public,Computer Hardware & Software,$500 million to $1 billion (USD),, 2.7,4.6,"Prague, Czech Republic"
1853,PSYML,1853,,,,,,,,,
1854,Billups,1854,51 to 200 Employees,2003,Company - Private,Advertising & Marketing,$10 to $25 million (USD),, 2.0,3.1,"Lake Oswego, OR"
1855,Multiplica,1855,51 to 200 Employees,2000,Company - Private,Advertising & Marketing,$5 to $10 million (USD),, 3.2,0.0,"Barcelona, Spain"
1856,+SUBSCRIBE,1856,1 to 50 Employees,2015,Company - Private,Financial Transaction Processing,$5 to $10 million (USD),,,5.0,"New York, NY"
1857,Q2 Software,1857,1001 to 5000 Employees,2004,Company - Public,Investment Banking & Asset Management,$100 to $500 million (USD),, 2.4,3.4,"Austin, TX"
1858,Risk Management Solutions,1858,1001 to 5000 Employees,1989,Company - Private,Enterprise Software & Network Solutions,$100 to $500 million (USD),, 3.0,3.8,"Newark, CA"
1859,Affinion Group,1859,1001 to 5000 Employees,1981,Company - Private,Advertising & Marketing,$1 to $2 billion (USD),, 2.4,3.9,"Stamford, CT"
1860,e-IT Professionals Corp.,1860,51 to 200 Employees,null,Company - Private,"Health, Beauty, & Fitness",$5 to $10 million (USD),,,,"Canton, MI"
1861,Xactly Corp.,1861,501 to 1000 Employees,2005,Company - Private,Computer Hardware & Software,$100 to $500 million (USD),, 2.9,4.4,"San Jose, CA"
1862,Mpaa,1862,51 to 200 Employees,1922,Company - Private,Membership Organizations,$25 to $50 million (USD),, 2.3,4.6,"Washington, DC"
1863,Nesh,1863,1 to 50 Employees,2018,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,,,,"Houston, TX"
1864,Deephaven Data Labs,1864,Unknown,null,Company - Private,,Less than $1 million (USD),,,,"New York, NY"
1865,Equals 3,1865,1 to 50 Employees,null,Company - Private,,Less than $1 million (USD),,,,"Minneapolis, MN"
1866,Cortex (DC),1866,,,,,,,,,
1867,Tachyon Technologies,1867,201 to 500 Employees,2011,Company - Private,IT Services,$10 to $25 million (USD),, 3.6,5.0,"Irving, TX"
1868,Rosenthal Collins,1868,201 to 500 Employees,1970,Company - Private,Brokerage Services,$100 to $500 million (USD),, 2.2,2.3,"Chicago, IL"
1869,Daimler Trucks North America,1869,10000+ Employees,1942,Subsidiary or Business Segment,Transportation Equipment Manufacturing,$2 to $5 billion (USD),, 2.7,4.3,"Portland, OR"
1870,Reasoning Mind,1870,201 to 500 Employees,2000,Nonprofit Organization,K-12 Education,$10 to $25 million (USD),, 3.4,4.4,"Houston, TX"
1871,Wabtec,1871,10000+ Employees,1869,Company - Public,Transportation Management,$5 to $10 million (USD),, 2.7,3.7,"Pittsburgh, PA"
1872,Infosys Solutions,1872,1 to 50 Employees,null,Company - Private,Accounting,$1 to $5 million (USD),, 3.3,0.0,"Prairieville, LA"
1873,Turner Construction,1873,5001 to 10000 Employees,1902,Subsidiary or Business Segment,Construction,$10+ billion (USD),, 2.8,4.3,"New York, NY"
1874,Classy,1874,51 to 200 Employees,2006,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,, 2.9,3.8,"San Diego, CA"
1875,Alto Neuroscience,1875,,,,,,,,,
1876,Harvard University,1876,,,,,,, 2.8,4.3,
1877,Royal Caribbean Group,1877,10000+ Employees,1968,Company - Public,Cruise Ships,$5 to $10 billion (USD),, 2.5,3.5,"Miami, FL"
1878,Manulife,1878,10000+ Employees,1887,Company - Public,Investment Banking & Asset Management,$25 to $50 million (USD),, 2.7,4.0,"Toronto, Canada"
1879,Auth0,1879,501 to 1000 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 2.9,4.7,"Bellevue, WA"
1880,Money Mart Financial Services,1880,5001 to 10000 Employees,1982,Company - Private,Lending,$1 to $2 billion (USD),, 2.5,3.0,"Victoria, Canada"
1881,Opera Solutions,1881,201 to 500 Employees,2004,Company - Private,Consulting,$50 to $100 million (USD),, 3.2,2.2,"Jersey City, NJ"
1882,Saama Technologies,1882,501 to 1000 Employees,1997,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,, 2.8,3.9,"Campbell, CA"
1883,Intermedix,1883,,,,,,,,,
1884,Companion Medical,1884,1 to 50 Employees,null,Company - Private,Biotech & Pharmaceuticals,Less than $1 million (USD),,,,"San Diego, CA"
1885,CashStar,1885,51 to 200 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 2.7,4.3,"Portland, ME"
1886,Box,1886,1001 to 5000 Employees,2005,Company - Public,Computer Hardware & Software,$500 million to $1 billion (USD),, 3.0,4.4,"Redwood City, CA"
1887,Osmose,1887,1001 to 5000 Employees,1934,Company - Private,Utilities,$50 to $100 million (USD),, 1.9,3.4,"Peachtree City, GA"
1888,WeRide,1888,51 to 200 Employees,null,Company - Private,Enterprise Software & Network Solutions,Less than $1 million (USD),, 3.3,,"Guangzhou, China"
1889,Blue Cross and Blue Shield of North Carolina,1889,1001 to 5000 Employees,1933,Company - Private,Insurance Carriers,$5 to $10 billion (USD),, 3.0,4.0,"Durham, NC"
1890,LSpire,1890,1 to 50 Employees,null,Unknown,,Less than $1 million (USD),,,,"New York, NY"
1891,charity: water,1891,51 to 200 Employees,2006,Nonprofit Organization,Social Assistance,$50 to $100 million (USD),, 3.0,5.0,"New York, NY"
1892,Famigo,1892,,,,,,, 3.0,,
1893,LiveIntent,1893,51 to 200 Employees,2009,Company - Private,Advertising & Marketing,Unknown / Non-Applicable,, 2.6,3.4,"New York, NY"
1894,Dose,1894,51 to 200 Employees,2009,Company - Private,Internet,$1 to $5 million (USD),, 2.6,4.8,"Chicago, IL"
1895,Dictionary.com,1895,1 to 50 Employees,1995,Subsidiary or Business Segment,Internet,Unknown / Non-Applicable,, 3.0,3.4,"Oakland, CA"
1896,Swagelok,1896,5001 to 10000 Employees,1947,Company - Private,Industrial Manufacturing,$100 to $500 million (USD),, 2.9,3.4,"Solon, OH"
1897,Gap Inc.,1897,10000+ Employees,1969,Company - Public,"Department, Clothing, & Shoe Stores",$10+ billion (USD),, 2.6,3.9,"San Francisco, CA"
1898,Verizon Telematics,1898,1001 to 5000 Employees,2006,Subsidiary or Business Segment,IT Services,$500 million to $1 billion (USD),, 2.9,4.3,"Brookhaven, GA"
1899,Wavelet Health,1899,1 to 50 Employees,null,Company - Public,Research & Development,Less than $1 million (USD),,,,"Mountain View, CA"
1900,Bryan Cave Leighton Paisner,1900,1001 to 5000 Employees,2018,Company - Private,Legal,$100 to $500 million (USD),, 3.2,3.8,"Saint Louis, MO"
1901,Spirit Music Group,1901,1 to 50 Employees,null,Unknown,,$1 to $5 million (USD),,,,"New York, NY"
1902,Blue Canopy,1902,201 to 500 Employees,2001,Company - Private,Computer Hardware & Software,$50 to $100 million (USD),, 3.2,3.6,"Herndon, VA"
1903,Freeport-McMoRan,1903,10000+ Employees,null,Company - Public,Mining,$10+ billion (USD),, 2.6,4.4,"Phoenix, AZ"
1904,DST Systems,1904,,,,,,,,,
1905,Cloud 5 communications,1905,51 to 200 Employees,2006,Company - Private,Enterprise Software & Network Solutions,$50 to $100 million (USD),, 2.1,2.5,"Chicago, IL"
1906,Capsule8,1906,1 to 50 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,,,4.0,"New York, NY"
1907,QIAGEN,1907,5001 to 10000 Employees,1984,Company - Public,Biotech & Pharmaceuticals,$1 to $2 billion (USD),, 2.9,3.9,"Hilden, Germany"
1908,Highmark Health,1908,10000+ Employees,null,Nonprofit Organization,Health Care Services & Hospitals,$10+ billion (USD),, 2.6,3.7,"Pittsburgh, PA"
1909,Horizontal,1909,501 to 1000 Employees,2003,Company - Private,Staffing & Outsourcing,$100 to $500 million (USD),, 2.5,2.2,"Minneapolis, MN"
1910,FireEye,1910,1001 to 5000 Employees,2004,Company - Public,Computer Hardware & Software,Unknown / Non-Applicable,, 3.0,3.8,"Milpitas, CA"
1911,Taboola,1911,1001 to 5000 Employees,2007,Company - Private,Advertising & Marketing,Unknown / Non-Applicable,, 2.8,3.9,"New York, NY"
1912,NeuroScouting,1912,,,,,,,,,
1913,ScaleLab,1913,1 to 50 Employees,2013,Company - Private,Motion Picture Production & Distribution,Less than $1 million (USD),, 2.7,2.8,"Santa Monica, CA"
1914,Cleveland Clinic,1914,10000+ Employees,1921,Nonprofit Organization,Health Care Services & Hospitals,$2 to $5 billion (USD),, 2.7,4.3,"Cleveland, OH"
1915,M2Catalyst,1915,,,,,,,,,
1916,HD Supply,1916,10000+ Employees,2020,Company - Private,Construction,$5 to $10 billion (USD),, 2.5,3.0,"Atlanta, GA"
1917,YMCA Twin Cities,1917,Unknown,null,Company - Private,,Less than $1 million (USD),,,,"Minneapolis, MN"
1918,Bend Research,1918,201 to 500 Employees,1975,Company - Private,Biotech & Pharmaceuticals,$50 to $100 million (USD),, 2.8,4.0,"Bend, OR"
1919,SEVEN Networks,1919,51 to 200 Employees,null,Company - Private,Computer Hardware & Software,$10 to $25 million (USD),, 2.4,3.5,"Marshall, TX"
1920,NYC Health + Hospitals,1920,5001 to 10000 Employees,null,Company - Public,Health Care Services & Hospitals,Unknown / Non-Applicable,, 2.6,3.6,"New York, NY"
1921,Coders Data,1921,201 to 500 Employees,null,Company - Private,IT Services,Unknown / Non-Applicable,, 2.0,5.0,"Cheyenne, WY"
1922,Connected Intelligence,1922,,,,,,,,,
1923,AlphaSights,1923,501 to 1000 Employees,2008,Company - Private,Consulting,$100 to $500 million (USD),, 2.9,4.1,"London, United Kingdom"
1924,Vertical Trail,1924,1 to 50 Employees,2013,Company - Private,IT Services,Unknown / Non-Applicable,, 2.0,,"Schaumburg, IL"
1925,Understood,1925,51 to 200 Employees,2014,Nonprofit Organization,Social Assistance,Unknown / Non-Applicable,, 4.0,5.0,"New York, NY"
1926,MarkITx,1926,,,,,,,,,
1927,Altria,1927,5001 to 10000 Employees,1919,Company - Public,Consumer Products Manufacturing,$10+ billion (USD),, 3.3,4.5,"Richmond, VA"
1928,Otsuka Pharmaceutical,1928,1001 to 5000 Employees,1989,Company - Private,Biotech & Pharmaceuticals,$50 to $100 million (USD),, 3.0,3.9,"Princeton, NJ"
1929,ANCOR,1929,1 to 50 Employees,null,Nonprofit Organization,Membership Organizations,$1 to $5 million (USD),, 3.0,0.0,"Alexandria, VA"
1930,Assurant,1930,10000+ Employees,1978,Company - Public,Insurance Carriers,$5 to $10 billion (USD),, 2.6,3.8,"New York, NY"
1931,Castle Hill Gaming,1931,,,,,,,,5.0,
1932,Illumina,1932,5001 to 10000 Employees,1998,Company - Public,Biotech & Pharmaceuticals,$2 to $5 billion (USD),, 3.0,4.2,"San Diego, CA"
1933,Scripps Health,1933,10000+ Employees,1924,Nonprofit Organization,Health Care Services & Hospitals,$2 to $5 billion (USD),, 2.8,4.1,"San Diego, CA"
1934,ZeOmega,1934,51 to 200 Employees,2001,Company - Private,Computer Hardware & Software,$25 to $50 million (USD),, 2.6,2.7,"Plano, TX"
1935,Pristine Infotech,1935,1 to 50 Employees,null,Company - Private,,Less than $1 million (USD),,,,"Burlington, MA"
1936,Lux Research,1936,51 to 200 Employees,2004,Company - Private,Research & Development,$5 to $10 million (USD),, 2.8,3.3,"Boston, MA"
1937,Cirrus Logic,1937,1001 to 5000 Employees,1984,Company - Public,Electrical & Electronic Manufacturing,$1 to $2 billion (USD),, 3.0,4.2,"Austin, TX"
1938,TERRENE LABS,1938,,,,,,,,,
1939,SACC,1939,Unknown,null,Company - Private,IT Services,$5 to $10 million (USD),, 1.0,,"San Mateo, CA"
1940,Carnegie Mellon University,1940,1001 to 5000 Employees,1900,College / University,Colleges & Universities,$1 to $2 billion (USD),, 2.5,4.0,"Pittsburgh, PA"
1941,Midea Group,1941,10000+ Employees,1968,Company - Private,Electrical & Electronic Manufacturing,Unknown / Non-Applicable,, 2.7,4.0,"Foshan, China"
1942,Intellect Design Arena,1942,1001 to 5000 Employees,2014,Company - Public,Computer Hardware & Software,$5 to $10 billion (USD),, 2.8,0.0,"Chennai, India"
1943,Ten-X,1943,,,,,,,,,
1944,BRMi,1944,51 to 200 Employees,2004,Company - Private,IT Services,Unknown / Non-Applicable,, 3.2,4.2,"Silver Spring, MD"
1945,PTC,1945,5001 to 10000 Employees,1985,Company - Public,Computer Hardware & Software,$1 to $2 billion (USD),, 2.9,3.9,"Boston, MA"
1946,Las Vegas Sands,1946,10000+ Employees,2004,Company - Public,Gambling,$10+ billion (USD),, 2.5,4.4,"Las Vegas, NV"
1947,Herbalife,1947,5001 to 10000 Employees,1980,Company - Public,"Health, Beauty, & Fitness",$5 to $10 billion (USD),, 2.6,3.8,"Los Angeles, CA"
1948,First Data,1948,,,,,,,,,
1949,FMCCS,1949,,,,,,,,,
1950,Jawbone,1950,,,,,,,,,
1951,Deutsche Bank,1951,10000+ Employees,1870,Company - Public,Banks & Credit Unions,$10+ billion (USD),, 3.0,4.0,"Frankfurt am Main, Germany"
1952,Sentinel Technologies,1952,201 to 500 Employees,1982,Company - Private,IT Services,Unknown / Non-Applicable,, 2.7,4.3,"Downers Grove, IL"
1953,Demandware,1953,,,,,,,,,
1954,Zoro,1954,201 to 500 Employees,2011,Subsidiary or Business Segment,Other Retail Stores,$500 million to $1 billion (USD),, 2.9,4.4,"Buffalo Grove, IL"
1955,Arvato,1955,10000+ Employees,1835,Subsidiary or Business Segment,Staffing & Outsourcing,$2 to $5 billion (USD),, 2.4,2.9,"Gütersloh, Germany"
1956,Modjoul,1956,,,,,,,,,
1957,Sabio,1957,1 to 50 Employees,2014,Company - Private,Publishing,Unknown / Non-Applicable,,,5.0,"Los Angeles, CA"
1958,Procore Technologies,1958,1001 to 5000 Employees,2002,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,, 2.9,4.8,"Carpinteria, CA"
1959,Breakthrough Fuel,1959,1 to 50 Employees,2004,Company - Private,Logistics & Supply Chain,Unknown / Non-Applicable,, 2.0,3.5,"Green Bay, WI"
1960,CSX,1960,10000+ Employees,1978,Company - Public,Transportation Management,$10+ billion (USD),, 2.9,4.1,"Jacksonville, FL"
1961,OPTUM Health & Technology,1961,1001 to 5000 Employees,null,Company - Private,,Less than $1 million (USD),, 3.0,,"São Paulo, Brazil"
1962,Kaligia Biosciences,1962,1 to 50 Employees,null,Company - Private,,Less than $1 million (USD),, 2.0,2.0,"Largo, FL"
1963,Dean Health Plan,1963,501 to 1000 Employees,null,Company - Private,,Less than $1 million (USD),, 2.7,2.0,"Madison, WI"
1964,Yieldbot,1964,51 to 200 Employees,2010,Company - Private,Internet,Unknown / Non-Applicable,, 2.7,3.0,"New York, NY"
1965,Geneia,1965,201 to 500 Employees,null,Subsidiary or Business Segment,IT Services,Unknown / Non-Applicable,, 3.2,4.1,"Harrisburg, PA"
1966,Eisai,1966,201 to 500 Employees,null,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,, 2.7,4.1,"Hatfield, United Kingdom"
1967,CodeSignal,1967,1 to 50 Employees,2014,Company - Private,Internet,$5 to $10 million (USD),, 3.6,5.0,"San Francisco, CA"
1968,Yammer,1968,51 to 200 Employees,null,Company - Private,Internet,$25 to $50 million (USD),, 3.3,4.8,"San Francisco, CA"
1969,Fair Value Partners,1969,1 to 50 Employees,2012,Company - Private,,Less than $1 million (USD),, 3.0,3.0,"New Brunswick, NJ"
1970,Byton,1970,1001 to 5000 Employees,2016,Company - Private,Transportation Equipment Manufacturing,Unknown / Non-Applicable,, 2.7,3.1,"Santa Clara, CA"
1971,Music Audience Exchange,1971,1 to 50 Employees,2014,Company - Private,Advertising & Marketing,Unknown / Non-Applicable,, 3.3,5.0,"Plano, TX"
1972,Olaris,1972,,,,,,,,,
1973,Phillips 66,1973,10000+ Employees,2012,Company - Public,Energy,$10+ billion (USD),, 2.9,4.3,"Houston, TX"
