,Company,Description,Glassdoor Salary Estimate,Industry,Location,Position,Rating,Revenue,Sector,Size,Year Founded






Are a Canadian citizen, permanent resident, or person to whom refugee protection has been conferred






Have advanced computer skills with proficiency in MS Office software, including Excel, PowerPoint, and Word






Knowledge of Salesforce is an asset






Personal or professional experience relating to blindness and sight loss is considered an asset






Personal or professional experience working with assistive technology and/or accessible environments is considered an asset






Benefits













CNIB is committed to creating and fostering an inclusive culture and welcomes applications from diverse candidates, including but not limited to Indigenous peoples, women, candidates with disabilities, and candidates of colour. We strongly encourage applications from applicants with sight loss. Direct lived experience would be a definite asset. We're excited to review your application!













Please note: while we invite applications from all interested and qualified applicants, we are unable to follow-up with every applicant.













Closing date: August 4, 2020",-1,-1,Toronto,"Coordinator, Data Analyst - Employment & Technology",-1,-1,-1,-1,-1

170,Tundra,"Job description:













Our Team













The Small Business segment is the fastest growing and highest value market segment in Canada and a top corporate priority for Client. To drive focus in this market, Client has created a dedicated Small Business Solutions (SBS) organization that is responsible for operations, marketing and sales execution, driving long-term strategic priorities, and new product introductions.













We are the Sales Order Verification team (SOV). Our focus is on sales order verification and order management to drive the best possible sales experience, while ensuring smooth and quick delivery of service to our customers. We are a highly-motivated, results driven team thats looking for team-members that share our passion for sales and customer experience.













Your Role













SOV is a key partner to all Small Business sales channels. As a member of SOV you will be supporting various Small Business sales channels across multiple product lines. You will become an expert at Verification, Qualification and Implementation. Youll ensure a great customer experience while reducing sales effort through the ordering and provision stages. Your expertise will help inform Product and Enablement teams of opportunities for efficiency and improvement to the sales experience.













Sales Order Verification Duties






Validate sales order data, confirming product and site eligibility for services






Communicate with customers directly for order details and agreements






Identify systems and process opportunities to create efficiency, reduce customer effort and reduce Sales effort






Build relationships with downstream support teams






Develop a relationship with sales and sales leaders to foster strong communication on order and service flows






Requirements






French speaking, reading and writing is an asset






Customer Service






Strong knowledge of Business 2 Business sales environment






Excellent organizational skills and ability to multi-task and prioritize effectively






Ability to work and thrive in a high energy, fast paced, action-oriented environment






Strong and effective decision maker






Proven ability to work remotely






Strong aptitude to learn and adapt to new technology and changes






Salesforce.com experience is an asset






Must Have Skills:






Computer Use






Customer Service






Order processing






Nice to have skills:






Salesforce.com






Job #43465",-1,Staffing & Outsourcing,Vancouver,Data Analyst (Contract),3.5,Unknown / Non-Applicable,Business Services,201 to 500 Employees,2004

171,Square Enix Montreal,"// English version will follow...//






Titre : Analyste de Données en Chef






Reporte à : Directeur BI













Square Enix Montréal est à la recherche d’un Analyste de Données en chef, passionné par les jeux et l’expérience utilisateur, pour recommander, planifier et développer les pratiques analytiques au sein de la division mobile de Square Enix West qui permettent à nos équipes de jeux de développer et de soutenir des jeux de haute qualité.













Responsibilités:






Mentorer et gérer une équipe d’analyste répartie entre les équipes de production et l’équipe centrale de la division mobile;






Coordonner avec le directeur BI, les tâches et les caractéristiques de l’ensemble des produits reliés à l’analytique sur le long terme;






Gérer la résolution des besoins analytiques de la division mobile quotidiennement;






Fournir un support d’expert pour toutes les activités analytiques réalisées en production;






Concevoir, planifier, mettre en œuvre et améliorer l’ensemble des systèmes et processus analytiques utilisés en production;






Éduquer les équipes de production et de marketing sur ce qu’il est possible de faire au niveau analytique et data science;






Collaborer avec des équipes multidisciplinaires pour trouver les meilleures solutions analytiques dans une grande variété de technologies, de systèmes et de services.






Expérience et qualifications:






Diplôme universitaire en statistiques, mathématiques, génie informatique, génie logiciel ou l’équivalent;






5+ années d’expérience en tant qu’analyste de données dans le domaine du jeux mobiles;






Avoir participer aux phases de production et de live-ops d’au moins deux jeux mobiles différents;






Maitrise du SQL, Python;






Maitrise du Data Mining et des statistiques;






Excellente maitrise de la modélisation de données et de la génération d’insights impactants;






Maitrise d’outils de Reporting (Looker, Tableau, PowerBI Amplitude etc.);






Maitrise des systèmes de collection de données de type Events;






Bonne connaissance des systèmes de base de données dans le cloud BigQuery, Snowflake, Redshift ou équivalent;






Expérience en coaching et mentoring;






Connaissance de Spark, Apache Beam ou équivalent est un plus;






Connaissance des plateformes analytiques comme Amplitude, deltaDNA, Mixpanel etc. est un plus.






Qualités interpersonnelles






Très bonnes capacités au niveau de la communication pour tout type d’audience;






Capacité à résoudre des problèmes complexes;






Rigoureux et précis;






Axé sur l’impact opérationnel, débrouillard et capable de prendre de l’initiative;






Être capable de s’adapter dans un environnement où les priorités peuvent changer régulièrement;






Être capable de faire preuve d’humilité et d’empathie afin d’aider à faire progresser l’équipe.













Motivation and Intérêts:






De l’ambition et de la passion pour les jeux vidéo mobiles sont essentielles!













-













// ENGLISH VERSION //













Title: Lead Data Analyst






Reports to: BI Director






Square Enix Montréal is looking for a Lead Data Analyst with a passion for games and user experience to recommend, plan and develop analytical practices within the mobile division of Square Enix West, allowing our gaming teams to develop and support high quality games.













Duties:






Mentor and manage a team of analysts divided between the production teams and the central team of the mobile division;






Coordinate the tasks and characteristics of all products related to long term analytics with the BI Director;






Manage on a daily basis the resolution of the analytical needs of the mobile division;






Provide expert support for all analytical activities carried out in production;






Design, plan, implement and improve all of the analytical systems and processes used in production;






Educate production and marketing teams on what can be done at the analytical and data science level;






Collaborate with multidisciplinary teams to find the best analytical solutions in a wide variety of technologies, systems and services.






Experience and qualifications:






University degree in statistics, mathematics, computer engineering, software engineering or equivalent;






5+ years of experience as a data analyst in the mobile gaming industry;






Have participated in the production and live-ops phases of at least two different mobile games;






Master SQL, Python;






Master Data Mining and Statistics;






Excellent knowledge of data modeling and generation of impactful insights;






Master Reporting tools (Looker, Table, PowerBI Amplitude, etc.);






Master Events type data collection systems;






Good knowledge of database systems in the cloud such as BigQuery, Snowflake, Redshift or equivalent;






Experience in coaching and mentoring;






Knowledge of Spark, Apache Beam or equivalent is a plus;






Knowledge of analytical platforms such as Amplitude, deltaDNA, Mixpanel, etc. is a plus.













Interpersonal qualities :






Excellent communication skills for any type of audience;






Ability to solve complex problems;






Rigorous and precise;






Focused on operational impact, resourceful and able to take initiative;






Ability to adapt in an environment where priorities may change regularly;






Ability to show humility and empathy in order to help the team progress.













Motivation and interests:






Passion and ambition for videogames are essential!",-1,Video Games,Montreal,Analyste de données en chef / Lead Data Analyst,3.5,Unknown / Non-Applicable,Media,1001 to 5000 Employees,1975

172,Reesby IT,"About the Data Scientist Internship




















Reesby are looking for a junior ML/AI Data Scientist who wants to learn how to analyze large amounts of raw information to find patterns and use them to optimize our performance. You will work with our team to learn to build data products to extract valuable business insights, analyze trends and help us make better decisions.













We expect you to be highly analytical with a knack for analysis, math and statistics, and a passion for machine-learning and research. Critical thinking and problem-solving skills are also required.













Data Scientist Internships will involve :






Research and detect valuable data sources and automate collection processes






Perform preprocessing of structured and unstructured data






Review large amounts of information to discover trends and patterns






Create predictive models and machine-learning algorithms






Modify and combine different models through ensemble modeling






Organize and present information using data visualization techniques






Develop and suggest solutions and strategies to business challenges






Work together with engineering and product development teams






Data Scientist:




















Graduate Role, no experience necessary, remote opportunity available






Develop Significant knowledge in data mining, machine-learning and operations research






Gain experience using business intelligence tools (such as Tableau) and data frameworks (such as Hadoop)






Gain knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset






Strong math and analytical skills, with business acumen






Strong communication and presentation skills






Good problem-solving abilities






BSc or BA degree in Computer Science, Engineering or other relevant area; graduate degree in Data Science or other quantitative field is preferred













www.reesby.com.au",-1,-1,British Columbia,Machine Learning Artificial Intelligence Internship (Data Science),-1,-1,-1,-1,-1

173,407 ETR,"Position Summary:






The successful candidate will assist in leveraging customer, digital and transportation datasets to create insights on pricing, marketing and customer travel behavior. The Sr. Data Scientist will assist the Director of Data Analytics and other key stakeholders to bring actionable data driven solutions to 407etr. This job involves project management with key stakeholders, model design, data management and providing input into programs and policies. This position is part of a highly collaborative and energetic team in a start-up minded environment.






Position Responsibility:






Assemble and analyze data to understand customer behavior from existing 407 ETR data, external data sources and emerging sources.






Building Pricing models and optimization using gurobi or the like.






Undertake analysis of target customer groups (segments) for specific marketing and pricing programs and assess opportunities and strategies for marketing.






Ad hoc analysis and modeling of data.






Strong experience building customer analytic models like: price elasticity, attrition, lifetime value, churn and segmentation.






Ability to understand business stakeholder’s issues and create valuable insight.






Raise awareness and action of data science within the company to help focus on fact based decisions.






Support the Department along with the Information Technology Management Department in planning the structure and storage of new customer related data fields.






Represent the department in committees within the organization.






Lead project based work with key business stakeholders.






Mentor junior members on statistical techniques and experimental design.






Qualifications:






A University degree in Engineering, Statistics, Mathematics, or Computer Science.






Graduate Degree focusing on Operations research. (PhD preferred)






Minimum 10 years working experience with data science techniques: clustering, regression models, classification, anomaly detection and other machine learning techniques.






Minimum 10 years of experience with data analysis tools (eg. SAS, R or Python) and BI visualization for reporting.






Well-developed business analysis, research and creative problem-solving skills.






Organizational skills and time management skills; planning and project management, and ability to meet multiple deadlines.






Strong communication skills and work ethic.






Highly collaborative team player with an entrepreneurial spirit.






Familiarity with MicroStrategy is an asset.






Note: This job description is not intended to be all-inclusive. Employee may perform other related duties as negotiated to meet the ongoing needs of the organization.






Accommodations for disabilities or other grounds protected by human rights legislation are available upon request for candidates taking part in all aspects of the employment selection process.",-1,Transportation Management,Woodbridge,Sr Data Scientist,3.8,$100 to $500 million (USD),Transportation & Logistics,201 to 500 Employees,-1

174,HearingLife,"The Project Administrator / Data Analyst will be responsible for working with the Project Manager to ensure all projects are delivered within the agreed scope, time, cost, and quality. This role will also ensure project resources have the correct processes in place and that all relevant staff are trained and equipped to deliver successfully. This role will have a strong tie to Wholesale Business Development and will be able to translate the wholesale business needs into a uniform project management-based approach. The Project Administrator / Data Analyst will represent the Company to the customer in an exemplary and professional manner.













Assist project manager in all administration functions and project management process for all divisions of Demant Wholesale






Coordination of Stakeholders






Project Scope/Delivery/Success and Budget






Project Plans, Progress and Performance






Manage the day-to-day activities in the Project Management Office (PMO)






Work with brand teams on product launches, events, software updates, and any widespread client needs






Facilitate development of project plans and manage them from inception to completion






Ensure that information recorded in both electronic and hard copy meets with internal and external audit standards






Review current processes to find greater efficiencies or recommendation for adoption of new methods






Confirm a clear and consistent approach is in place to identify and manage risks for each business unit






Proactively engage with Directors and senior managers to identify opportunities for business improvements






Recommend to the Company areas of future growth potential such as new market strategies, etc.






Responsible for preparing and conducting technical presentations and demonstrations when appropriate






Routinely interacts with other Project Manager, team members and Brand Managers. Regular contact with non-management and management staff in Marketing, Sales and Accounting






Potential travel to customers and customers’ facilities nationally and internationally






rates, and other essential KPIs






Develop and maintain spreadsheets and databases by compiling monthly and quarterly data from various sources, both internally and externally






Analyze project data and produce progress reports






Provide competitive analysis (product, promotions, incentives, etc.) for comprehensive view of market condition






Conduct research to identify new opportunities, new channels, partners, etc.






Work with stakeholders of the system to identify areas for efficiency improvements and implement solutions






Support Sales and Marketing by ensuring Lead and Prospect information routes flow to the appropriate sectors and team channels






Assist sales team with needs related to processing through internal systems and processes






Integrate data from multiple sources (CRM, Navision, proprietary internal data sets) to Microsoft Power BI






Prepare sales analytics platform launch materials













A related post-secondary degree and a minimum of 3+ years of general project management experience, project administrator, key account management or equivalent.






Excellent verbal and written communication skills and interpersonal skills to interact with customers.






Excellent presentation, negotiation, and organizational skills with technical aptitude.






Proficiency in Microsoft Office (Word, Excel, PowerPoint etc), project management tools (Asana, Wrike etc)






Ability to represent the Company in a professional and courteous manner.






Must have a valid driver’s license without restrictions other than “corrective lenses” and be of legal age to rent and operate a rental vehicle.






Be able to work on a variety of problems of moderate scope and complexity where analysis of data and/or situations requires evaluation of various factors. Able to be resourceful and think outside of the box.






Provide information, assistance, and recommendations which are used in the management decision-making process and in support of sales and customer satisfaction.






Accommodation is available upon request for applicants with disabilities in the recruitment and assessment process and when hired.",-1,Health Care Services & Hospitals,North York,Project Administrator/Data Analyst,1.9,Unknown / Non-Applicable,Health Care,501 to 1000 Employees,2004

175,BMO Financial Group,"Address:













120 Bloor Street East






Job Family Group:






Technology













Job Description













The role of Technical Data Analyst with Finance Technology is to work with business/technology stakeholders to understand financial data and build relationships with business partners and internal stakeholders. The role will require analyzing data, creating documents and plans in service of informing, advising, or updating stakeholders.













The TDA with Finance Technology will mainly focus on the financial hierarchy master data and understanding on how it is applies to banks financial applications. Additionally, the role requires supporting the internal master data tool that provides end user visualization of financial hierarchy data.













Responsibilities






Leverage the existing tools, processes and best practices associated with application packaging such that documented user requirements are satisfied while adhering to BMO technical standards






Analyzing and interpreting data to be able to provide updates to stakeholders






Works with stakeholders to validate their requirements and analysis models via techniques such as reviews and walk throughs






Providing requirements for our technology partners






Continuously optimizing existing processes






Supporting the master data visualization tool






Focus is primarily on business/group within BMO; may have broader, enterprise-wide focus






Skills






Well versed in SQL to create complex queries to pull data from various sources






Exposure to DB visualization tools such as Aginity, DBVisualizer






Programming skills Java, Node JS






Excel knowledge and use of macros






Understanding of SDLC.






Support internal tools like Master Data Explorer






Understanding of Quality Assurance (use of HP ALM)






Understanding agile/waterfall methodology






Can work as independent worker or in a team






Organizational skills






Be adaptable and can work in ambiguous environment






Build strong working relationships internally and externally






Strong Analytical skills






Possesses good communication, facilitation and people skills






Understanding hierarchy data






Anticipates and reduces complexity for others.






Conducts independent analysis and assessment to resolve strategic issues






Ability to work independently individually and in groups






Nice to have






Banking and financial knowledge






Worked with and understand IBM Master Data Collaboration Edition software






Worked with database Hadoop and Netezza






Qualifications:






3+ years of experience as data analyst/business analyst






Bachelors in Computer Science or equivalent






Possesses analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.






Demonstrates applied knowledge of one or more analysis and problem decomposition technique.






Understands complete Software Development Life Cycle and can apply the applicable portions of the ‘Feasibility,’ ‘Requirements,” and ‘Analysis’ phases.






Demonstrates writing and documentation skills.






Understands and can explain to others the core processes involved in their area of support.






Technical proficiency gained through education and/or business experience.






Verbal & written communication skills - In-depth






Able to program in Node JS






Data analytics skills






We’re here to help













At BMO we are driven by a shared Purpose: Boldly Grow the Good in business and life. It calls on us to create lasting, positive change for our customers, our communities and our people. By working together, innovating and pushing boundaries, we transform lives and businesses, and power economic growth around the world.













As a member of the BMO team you are valued, respected and heard, and you have more ways to grow and make an impact. We strive to help you make an impact from day one – for yourself and our customers. We’ll support you with the tools and resources you need to reach new milestones, as you help our customers reach theirs. From in-depth training and coaching, to manager support and network-building opportunities, we’ll help you gain valuable experience, and broaden your skillset.













To find out more visit us at https://bmocareers.com.













BMO is committed to an inclusive, equitable and accessible workplace. By learning from each other’s differences, we gain strength through our people and our perspectives. Accommodations are available on request for candidates taking part in all aspects of the selection process. To request accommodation, please contact your recruiter.",-1,Banks & Credit Unions,Toronto,Technical Data Analyst,3.7,$10+ billion (USD),Finance,10000+ Employees,1817

176,Oxford Properties,"Why join us?




















Are you looking to join an innovative, global real estate company who builds communities and connects people to exceptional places? If so, we would love to tell you our story.At Oxford, our culture is truly one of a kind. Across business lines and around the world, we embrace the complex and tackle opportunities with speed and agility. We are ambitious and humble, forward looking and service-focused. We get stuff done, and have fun doing it! We take great pride in contributing to the communities where we live. We believe that what is good for the environment is good for business. Together we deliver exceptional experiences to our over 2 million daily customers.






We are looking for a highly motivated BI & Data Analyst to join our Data Platform & Engineering team in Toronto, Canada. This position will report to the Director, Data Platform & Engineering and will primarily support the Data CoE reporting and strategic planning initiatives for Oxford on a global basis. As the BI & Data Analyst, you will be part of Oxford’s Data Platform team and play a key role to execute on Oxford’s data strategy. Our vision is to deliver an industry leading enterprise data platform that will provide end users and applications accessibility to data through self-service capabilities to accelerate the delivery of business intelligence and ability to generate new insights.













This position supports Oxford’s transformation strategy which is focused on enhancing Oxford’s operational scalability as Oxford continues its growth trajectory. In this role you will have the opportunity work directly with the executive leadership and key business and technology stakeholders across Oxford’s Technology, Data, Change Management and Financial Systems teams across Oxford globally.













You will be a key member of an engaged, high-reaching team—part of a world-class, winning culture that prioritizes people development and focuses on long-term growth. We take great pride in leading the industry by earning respect through every interaction, every day. We go above and beyond to protect and grow relationships by anticipating needs, being honest and considerate and valuing internal and external customers as genuine partners.













As a member of this team, you will be responsible for:




















• Creating and maintaining interactive visualizations in PowerBI through data interpretation and analysis, integrating various reporting components from multiple data sources;






• Working closely with project managers to understand and design dashboards to meet their analytical requirements, including identifying critical metrics;






• Ensuring consistency of dashboards design across global business use cases:






• Coordinating with business source system administration teams on data architecture and direct system feeds;






• Understanding database structures and facilitating changes where required;






• Overseeing the publishing of dashboards (with refreshed data on a monthly, quarterly and annual basis);






• Assisting with the preparation and development of reporting, presentations and various materials for discussion at the executive level;






• Seeking efficiencies in existing processes and execution of process improvement initiatives where possible;






• Supporting the research, analysis, reporting and execution of data program initiatives;






• Leading special projects and ad-hoc analysis as required













To succeed in this role, you have:




















• A post-secondary education;






• A minimum of 3-5 years of demonstrated experience in a similar role;






• Excellent project management skills and the ability to work under pressure and manage high priority strategic projects with multiple or competing deadlines;






• Proven ability to communicate and synthesize complex ideas or large amounts of data into simple, concise presentations at the executive level;






• Advanced Microsoft PowerBI and Excel skills;






• An exceptionally strong work ethic and a high level of analytical capabilities and attention to detail;






• The ability to build strong relationships across the organization at all levels and are a team player; and






• Superior communication skills (written, oral, presentations) and problem-solving skills",-1,-1,Toronto,BI & Data Analyst,4,Less than $1 million (USD),-1,1 to 50 Employees,-1

177,Ardene,"WHO WE ARE:













Ardene is the ultimate value fashion destination in North America and beyond. With 325+ stores in Canada, an expanding international presence, and a growing e-commerce business at ardene.com, the company is inspired by the ever-changing world of its customers. Ardene believes that fashion shouldn’t be exclusive or intimidating – it should be real, and it should be celebrated with youthful confidence and fearless enthusiasm. The company’s mission is to connect with customers by offering unique and inspiring fashion experiences at the best price.













WHO YOU ARE:













Reporting to the Senior Manager, Loyalty & CRM, the Digital Data Analyst will be responsible for the extraction, manipulation & interpretation of customer data from our data warehouse as well as various systems (Oracle database, SQL Server, Salesforce Marketing Cloud, Loyalty platform, Google Analytics, etc.). They will be critical in helping to build a customer and data-centric culture, with the objective of delivering customer-level insights (customer journey, lifecycle & LTV, churn/retention, segmentation, etc.) in order to improve business decisions and increase customer lifetime value. They will support the planning and execution of A/B testing campaigns, statistical analyses, as well as building propensity and forecasting models.













The Digital Data Analyst’s primary responsibilities will include, but are not limited to:






Extract, manipulate & interpret data from our data warehouse and various systems (Oracle database, SQL Server, Salesforce Marketing Cloud, other cloud platforms, Google Analytics, Loyalty platform, etc.) using mainly SQL language






Participate in the ongoing improvement of the data warehouse






Support the team in A/B testing including pre-test analytics, sizing, testing strategy and results measurement






Support in the establishment of test measurement and sizing processes






Pull necessary data & interpret for sizing, segmentation, scaling, measurement, etc.






Run statistical analysis for test measurement and communicate impact/summary of weekly results (statistical significance, pre-post trend analysis, test deep-dives, etc.)






Query and analyze data to inform ideation, strengthen test hypotheses, identify target segments, including sizing the impact of ideas for prioritization and understand test results






Execute customer-level analytics (acquisition, customer lifecycle, retention/churn analysis, cohort analysis, customer journeys, etc.)






Provide loyalty program analytics, store and online shopper insights, newsletter insights, regional/country-specific insights, etc.






Provide statistical analysis, build relational models, as well as prediction/forecasting models






Support with reporting and dashboard creation to automate and track metrics and results






Visualize output when necessary






Provide support on special projects and analytics as needed













Job Requirements













WHAT YOU’LL NEED:






Bachelor’s degree with a focus in statistics, computer science, mathematics or related quantitative field






2-5 years of relevant experience






Experience with statistical and data manipulation language (strong SQL required)






Experience working with large data sets to lead to actionable business insights






Loyalty program/CRM experience an asset






Retail experience an asset






Proficiency with Microsoft Office Suite required, including advanced Excel functions






Strong understanding of database structures






Adept and proactive problem solver






Strong organizational skills






High attention to detail and commitment to high-quality work






Strong analytical & data mining skills






Ability to work independently as well as part of a multi-disciplinary team






Ability to work with minimal supervision






Bilingual (French and English)






GROW WITH US!













We’re pretty proud to say that everything we do starts with our people – whether it’s in-store or at the head office. From sales associates and store leadership; dedicated in-house apparel and design teams; marketing, brand, and digital experts; stylists, photographers, and graphic designers; all the way to store concept and operations. We do it all. Ardene is truly a creative hub that is second to none.













Be part of a fun, dynamic and energetic team! Join our team and begin your career at one of North America’s top retail chains!













Ardene is committed to employment equity. Only those whose candidacy has been retained will be contacted.",-1,"Department, Clothing, & Shoe Stores",Montreal,Digital Data Analyst,3.3,Unknown / Non-Applicable,Retail,1001 to 5000 Employees,1982

178,Procom,"Database Developer






On behalf of our client, Procom is seeking a Database Developer for an 7-month contract in Edmonton, AB.






Database Developer Responsibilities






Working together with the team: deeply understand customer problems and deliver major features to delight them end to end ownership of database development: design, develop, automated testing, document, deliver, instrument and operate






Roughly 90% hands-on coding.






Deliver and review for beautiful code with attention to quality, scalability, maintainability and performance.






Triage, fix and validate bugs






Proactively look for ways to improve code, processes and team speed













Database Developer Mandatory Skills






3+ years relevant technical experience






2 or more years of progressive experience developing and designing large scale data migration components using PL/SQL






Ability to write efficient, complex queries against very large data sets.






Cloud devops proficiency (AWS preferred)






Apply analytics and systems thinking to analyze data, identify emerging trends and turn the data into actionable information/insights






Scrum master experience






Knowledge in DBA preferably Oracle






Microservices & Rest API development experience (Java Springboot)






Experience with BI/visualization packages such as Tableau, Business Objects, Qlikview Apache Spark, The Hadoop ecosystem TensorFlow, reinforcement learning






Experience with large financial systems






Demonstrated ability to explain complex technical issues to both technical and non-technical audiences.






Drive results through influence, partnership and cross functional teams






Database Developer Assignment Length






7 Month Contract













Database Developer Assignment Location






Edmonton, AB













Database Developer Start Date






November 30, 2020",-1,Staffing & Outsourcing,Edmonton,Database Developer - 298172,4.6,$1 to $2 billion (USD),Business Services,5001 to 10000 Employees,1978

179,Capgemini,"• A Bachelor’s degree in Computer Science, Engineering, Mathematics, or other STEM disciplines or a certificate of completion from a reputable code school or academy.






• 24 months of experience working as a Software Developer/Engineer using one or more of the following languages: Python, SQL, R, Java, Julia, Scala, TensorFlow, Matlab.






• The ability to work independently to solve targeted technical problems.






• Experience with Snowflake features and with developing and deploying Snowflake projects in production environment.






• Experience working within a DevOps and/or DataOps environment. Experience building deployment automation, data pipelines, and/or infrastructure-as-code solutions.






• Experience in leading the design, development, and deployment of end-to-end solutions (including data acquisition, data ingestion, data storage, data management, data visualization, data integration, and data access) using snowflake and using cloud services and platforms.






• Are considered very technically strong in one or more area.






• Are experienced working with big data distributed programming languages, and ecosystems: Spark, Hadoop, MapReduce, Pig, Kafka






• Are experienced working on deploying large scale data analytics services, solutions, and/or warehouses






• Are experienced with common data science tools such as Python, R, PyTorch, TensorFlow, Keras, NLTK, Spacy, or Neo4j, and a good understanding of modelling platforms













Candidates should be flexible / willing to work across this delivery landscape which includes and not limited to Agile Applications Development, Support and Deployment.













Responsible for programming and software development using various programming languages and related tools and frameworks, reviewing code written by other programmers, requirement gathering, bug fixing, testing, documenting and implementing software systems. Experienced programmers are also responsible for interpreting architecture and design, code reviews, mentoring, guiding and monitoring programmers, ensuring adherence to programming and documentation policies, software development, testing and release.













Required Skills and Experience:












