,Company,Description,Glassdoor Salary Estimate,Industry,Location,Position,Rating,Revenue,Sector,Size,Type,Year Founded











What you'll be doing:





Generate detailed reports on a weekly & monthly basis for both the Technical and Billing support departments





Analyze and summarize center stats and highlight potential problems (root cause analysis etc.)





Develop new and innovative ways to report needed statistics





Weekly presentation to management highlighting key finding





Create, maintain, optimize, streamline and/or automate daily, weekly and monthly reports





Translate data into meaningful information and present actionable recommendations





Analyze trends to determine current and future impacts on various KPIs





Complete ad-hoc requests for key stakeholders





What you'll need to successful:











Must have:





DEC or undergraduate degree in Computer Science, Information Technology, a related field or any combination of education and/or work experience providing equivalent background required





Minimum of four (4+) years of related experience





Must have proven success in making recommendations based on data analysis that impacted the business in a positive way





Must have experience automating routine reports





Proven analytical, evaluative, and problem-solving abilities





Microsoft Office knowledge, particularly a high-level Excel user. (Macros, Pivot Tables,VBA)





Experience with data visualization tools (i.e. Tableau and PowerBi and/or SQL)





Nice to haves:





Familiar in working with Call Center metrics and reports





Experience monitoring and maintain hardware and software





As an equal opportunity employer, we celebrate diversity and are committed to creating an inclusive environment for all employees",,IT Services,Montreal,Sr. Data Analyst,3.4,Unknown / Non-Applicable,Information Technology,1001 to 5000 Employees,Company - Private,2004

243,Centre universitaire de santé McGill,"Job Description





RESEARCH INSTITUTE OF THE MUHC











The Research Institute of the McGill University Health Centre (RI-MUHC) is a world-renowned biomedical and hospital research centre. Located in Montreal, Quebec, the Institute is the research arm of the McGill University Health Centre (MUHC) affiliated with the Faculty of Medicine at McGill University. The RI-MUHC is supported in part by the Fonds de recherche du Québec - Santé (FRQS).











Position summary





The Centre for Outcomes Research and Evaluation (CORE) is one of the 3 RI-MUHC centres and houses more than 100 clinician-scientists and scientists across the different research sites of the MUHC and the Montreal General Hospital. By bringing more than 150M$ of funding over the past 5 years, our researchers study the genetic, environmental, and behavioural causes of disease, assess the health impact of new diagnostic approaches and clinical treatments, and evaluate the benefits, risks, and costs of health care services. We make direct links to health and disease that rapidly lead to impact on health outcomes, in both the short and long term.





The Biostatistical Consulting Unit (BCU) provides consultations on biostatistics related to basic, clinical, and epidemiological research for members of the RI-MUHC. We provide comprehensive, cost-effective services from the design stage of research to its publication.











Under the supervision of the Biostatistical Consulting Unit-CORE Associate Director, and the indirect supervision of the CORE Manager, the incumbent is responsible for the programming and statistical and database programming activities, as well as statistical analysis, in compliance with standard operating procedures, client guidelines, and regulatory agency guidelines.











General Duties





Working with our clients such as MUHC researchers, cancer registers, public health institutions, and other government agencies,





In collaboration with other senior staff, will develop, implement and maintain the unit’s objectives in activities of analysis, data management, and RAMQ data extractions, etc.,





Develop project-specific statistical analysis plans that address areas such as data coding, reporting, or transfer, and analysis,





Collaborate with project management, data management teams on various requirements,





Design, develop and validate data edit checks, and reports according to Standard Operating procedures and protocol,





Develop and implement strategy for data cleaning, merging, manipulating and programming of clinical/registry databases,





Developing quality control procedures and guidelines for large-scale insurance databases from multiple sources,





Reconciling electronic data against the database, merging and joining databases from various sources,





Generating data extracts and summaries,





Other duties as assigned by the supervisor.





Website of the organization





https://rimuhc.ca/en











Education / Experience





Master’s degree in quantitative or scientific discipline, preferably statistics (or) Bachelor’s degree with four (4) years of experience





Minimum of three (3) years of advanced level of Statistical programming and database management





Advanced knowledge of French and SAS/STATA/R program is essential





Experience in the pharmaceutical industry, CRO, healthcare industry is preferred





Experience in performing of SAS, SQL, Visual Basic for Applications (VBA) preferred





Experience working with Python, SAS/R programming using SAS is an asset





Experience working with electronic data management systems and statistical analysis software is an asset





Experience in RAMQ databases is an asset





Familiar with ICD (International Classification of Disease) coding, RAMQ and other disease coding practices





Well organized and able to work both independently and as part of a team





Excellent interpersonal skills





Excellent verbal and written communication skills in French and English





Additional information





Status : 1 year contract (Possibility of renewal subject to project funding)





Pay Scale : Commensurate with qualifications and experience





Work Shift : Monday to Friday, 8:30 a.m. to 4:30 p.m.





Work Site : MGH-CORE Site MUHC











To learn more about our benefits, please visit http://rimuhc.ca/en/compensation-and-benefits











THIS IS NOT A HOSPITAL POSITION.











NOTE: The masculine gender has been used for brevity and includes the feminine gender.





Equal Opportunity Employment Program











Le CUSM applique un programme d’accès à l’égalité en emploi et invite les femmes, les Autochtones, les minorités visibles, les minorités ethniques et les personnes handicapées à présenter leur candidature. Des mesures d’adaptation peuvent être offertes aux personnes handicapées qui en font la demande en fonction de leurs besoins.",,Education Training Services,Montreal,Junior Statistician/Database Specialist (Research Institute),2.9,$1 to $2 billion (USD),Education,10000+ Employees,College / University,

244,SOCAN,"Monday, November 9, 2020





REPORTING TO: Manager, Member Services





DEPARTMENT: Membership





LOCATION: Toronto / Montreal / Vancouver





LANGUAGE: Bilingual preferred (English and French)











OUR COMPANIES STORY





SOCAN is Canada’s largest member-based rights management organization. We serve and champion more than160,000 music creators, publishers and visual artists, advocate for them, and protect their rights. We do this by using and building state-of-the art technology that ensures they are paid for their work – music and art we all enjoy.











OUR PEOPLE





▪ We’re a team dedicated to supporting the national and global music ecosystem with innovation,





commitment and desire in an ever-changing music and business landscape.





▪ We love music and believe that music creators and publishers provide a truly priceless and essential





aspect of national pride and culture.





▪ We’re immensely proud of our workplace culture and this attribute permeates our works.





▪ Our team proudly supports and gives back to our communities and causes, raising tens of thousands





of dollars for important charitable organizations and initiatives.











WHO YOU ARE?





The Data Analyst will be Membership’s data-to-business translator, responsible for providing insights, analysis and visualisations that will help drive the success of our department. We are looking for a collaborative, forward thinking individual who will understand both Membership’s data and reporting needs and strategic objectives, and how to marry the two. This role will require a driven candidate who can work with a great deal of autonomy and who has a keen ability to present their analysis and insights





Your responsibilities will include:











Data Research and Analytics





▪ Develop and build reporting capabilities to aid in day-to-day operations of department





▪ Quick turnaround of ad hoc requests and provide support when business queries are made





▪ Initiate and identify continuous improvement activities by analyzing department KPIs, and member





service trends and feedback





▪ Use data to help identify and build requirements and business cases for recommended changes





▪ Work with leadership team to plan, design and conduct post contact surveys





▪ Connects a variety of business data from different data sources and analyzes data to gain insights





Data Visualization





▪ Visualize, identify and analyse complex data into compelling dashboards to track department KPI’s





▪ Consolidate visualisations and analysis into presentations to management and stakeholders





▪ Aggregate and analyze feedback and data across all available channels (pendo, post contact, five9,





case management etc.) at every touch point of the member journey





▪ Updates KPI dashboards on a regular basis to outline major changes, and changes to the system that





have impact to KPI's











Stakeholder support:





▪ Builds relationships with key business users and decision makers to understand their business analytics





needs





▪ Develops, fosters and maintains effective working relationships with internal and external





stakeholders





▪ Work closely with each division within Membership to determine business reporting needs and gaps





▪ Liaise with Data Governance Office and IT regarding data access/systems, data models, methods, best





practices and any issues





▪ Other duties as required











SKILLS





▪ Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant





amounts of information with attention to detail and accuracy





▪ Excellent organizational and time management skills





▪ Problem solving skills





▪ Strong interpersonal skills





▪ Writing and Presentation skills





▪ Skilled user of Business Intelligence tools, such as PowerBI; Experience with programming language





such as SQL and DAX preferred





▪ Intermediate to advanced experience with Excel











EDUCATION / EXPERIENCE





▪ Bachelor of Science in Math, Statistics, or Computer Science or equivalent





▪ At minimum 5 years of relevant working experience











ATTRIBUTES





• Analytical





• Strong Communicator





• Detail Oriented





• Methodical





• Curious





• Capable of spotting patterns











PERKS OF THE JOB











As an employee of SOCAN, you will be eligible to receive the following benefits and perks, to help make your-day-to-day life a little bit easier:











▪ Comprehensive benefits plan (medical, vision, dental)





▪ Access to online medical service to receive professional advice and prescriptions if needed





▪ Defined Contribution Pension Plan, with employer matching





▪ Flexible spending account allowance that can be used towards medical or wellness related costs





▪ Competitive bonus





▪ Discounts at retail, attractions and much more





▪ Group discounts on car / home insurance





▪ Employee Family Assistance program





▪ Onsite fitness facilities and wellness programming





▪ Discounts at Goodlife Fitness membership





▪ Tuition reimbursement program











SELECTION PROCESS





SOCAN’s is committed to creating an inclusive work environment that supports a diverse workforce. All





qualified applicants will receive consideration for employment without regards to race, color, religion, gender,gender identity or expression, sexual orientation, national origin, genetics, disability and age.











INTERVIEW PROCESS





If selected for an interview, skills may be tested, and selection will be based on factors, related experience and alignment of skills.











ACCESSIBILITY





SOCAN is committed to providing an inclusive workplace environment that meets the accessibility needs of employees with disabilities. Should you require accommodations please contact us directly at hr@socan.com and we will make the necessary accommodations. Applications submitted to this email address will not be accepted.





READY TO JOIN SOCAN AND MAKE A DIFFERENCE?





Please visit our career page at: http://www.socan.com/careers/ and select “Apply” beside the role you are





interested in applying for. Please submit your application for this role no later than November 27th, 2020.





We thank everyone for their interest however, only qualified applicants will be contacted.





To learn more about SOCAN, please visit www.socan.com





Other details





Pay Type Salary





Apply Now",,Sports & Recreation,Vancouver,Membership - Member Services - Data Analyst,3.2,Unknown / Non-Applicable,"Arts, Entertainment & Recreation",201 to 500 Employees,Nonprofit Organization,1925

245,Ledcor,"Description





Job Summary:





As an Information Systems Process and Data Analyst, you are responsible for the design, implementation, and support of service management demand and request processes, tools and data frameworks. You enable collaboration and will work with various business leaders, the Business Relationship Manager (BRM) and other Information Technology teams to ensure the Ledcor IS team processes are tuned for velocity using the underlying ServiceNow platform, and present leadership with data-driven perspectives on performance, gaps and projections. You think ahead and look at the big picture in order to make Ledcor a stronger organization.











Come join our team in Vancouver or Edmonton today!





Essential Responsibilities





Contribute and execute a data management strategy to support our various LIS leaders, managers and teams





Identify and prioritize service areas and portfolios to develop baselines, KPI metrics and reporting





Monitors and coordinates improvements for the request and fulfillment processes





Test and iterate both business request processes and internal IS to ensure fluid and efficient processes





Contributes service descriptions and service-level agreements (SLAs) for specific services to the organization’s service catalog





Perform continual maturity assessments on service delivery processes and outline improvement opportunities or reduction of “waste” processes that will assist in improving velocity





Qualifications





Bachelor's degree in Business or Management Information Systems





Minimum 5+ years experience in a role of similar capacity or as a business analyst





3+ years of ServiceNow experience or equivalent ITSM service platform





Experience in design and implementation of service workflows





4 years Experience in data analysis, data structuring and visualization.





Experience implementing, tracking, analyzing and improving operational metrics associated with velocity, quality and customer satisfaction





Demonstrated ability and knowledge of interpreting business goals and strategy to derive innovative technology solutions and automation opportunities





Solid understanding of ITIL methodology and agile frameworks





Solid knowledge of the design of service workflows, ITBM modules, Service/Project Portfolio and Service Catalog





Intermediate skills Outlook, Word & Excel, PowerPoint and Visio





Advanced skills in Word & Excel to create and update templates, reports





Solid knowledge of ServiceNow and underlying capabilities





Additional Information:





Company Description





The Ledcor Group of Companies is one of North America’s most diversified construction companies. Ledcor is a company built on a rich history of long-standing project successes.





But when you work for Ledcor, your experience will go far beyond the project. Do you want a career that means more? Join our True Blue team now!





Date Posted





Oct 8, 2020





7008 Roper Road NW, Edmonton, AB, Canada",,Construction,Edmonton,Information Systems Process and Data Analyst,3.2,Unknown / Non-Applicable,"Construction, Repair & Maintenance",5001 to 10000 Employees,Company - Private,1947

246,Golder Associates,"Junior Air Quality Consultant





- (20001864)





At Golder, we thrive on challenges.











Golder is not just a place to work, it is a promise of a living, dynamic environment where people collaborate, innovate, build enduring relationships, excel, and grow professionally in a strong culture of ownership.





Do you have the desire to learn? The drive to excel and thrive in an engaged, collaborative environment?











Golder Associates is seeking a dynamic Junior Engineer/Scientist working to assist on air quality and greenhouse gas related projects as part of the Atmospheric Services Team in the Vancouver office.





The successful candidate will be involved in a broad range of responsibilities, that could include:





Assisting with air quality assessments, as part of a larger group and consists of: emission inventory development, data analysis, calculations, atmospheric dispersion modelling and reporting





Field work including source identification, data collection, ambient air quality, meteorological and noise monitoring, (instrument set up, calibration, data acquisition and analysis)





Meteorological model preparation and dispersion modelling





Assisting on multi-disciplinary projects with data analysis and reporting





Greenhouse gas quantification and management





Climate change assessments





Sustainability related projects











The successful candidate will possess the following qualifications:





Have obtained, or are working towards a Bachelor’s Degree in Chemical, Mechanical or Environmental Engineering, or Sciences





Experience or interest in environmental consulting, in particular air quality, greenhouse gas, climate change and sustainability fields





Strong interpersonal skills, and excellent communication skills written and verbal





Possess as valid driver’s license and the ability to drive as required





Well-developed computer skills





Your benefits at Golder will include:











Competitive benefits and remuneration packages





Employee owned structure - own the business, own the result





Deepen your expertise in a dynamic work environment





Innovative and collaborative multidisciplinary projects





On the job training, mentoring, and coaching





Global projects and travel opportunities











One of Canada’s Best Managed Companies, Platinum member status 13 consecutive years











Renowned for technical excellence, Golder is a leading, global employee-owned engineering and consulting firm with over a half century of successful service to its clients. With over 165 offices in over 30 countries, Golder’s 6,500 professionals are driven by a passion to deliver results, offering unique specialized skills to address the ever-evolving challenges that earth, environment and energy present to clients across the infrastructure, mining, oil and gas, manufacturing and power sectors.





Golder Associates Ltd. is committed to meeting the accessibility needs of persons with disabilities in accordance with the Accessibility for Ontarians with Disabilities Act, 2005 (AODA), and all other applicable legislation. Golder will provide accommodations throughout the recruitment and selection process to applicants with disabilities upon request.











To learn more about our company and culture click here to view The Promise of Golder video.





#LI-MM1











Primary Location CA-BC-VANCOUVER





Schedule Full-time





Employee Status Regular





Job Posting Nov 5, 2020, 11:55:11 AM",,Architectural & Engineering Services,Vancouver,Junior Air Quality Consultant,3.5,$500 million to $1 billion (USD),Business Services,5001 to 10000 Employees,Company - Private,1960

247,Bombardier,"Data Analyst - Internal Audit-MON17447











Description











BOMBARDIER











At Bombardier, our employees work together to evolve mobility worldwide - one good idea at a time. If you have a good idea, we’ll provide the environment where it will thrive and grow into a great product or customer experience. Your ideas are our fuel.











In your role, you will:











Develop, improve and implement the department’s data analysis roadmap;











Identify and subsequently act on opportunities to analyze and visualize data at every phase of the audit process;











Identify relevant data for current and future needs; coordinate data extraction and updates in the source systems;











Expertly contribute to audit and advisory engagements by putting forward and executing data analysis scripts designed to increase the quality and efficiency of audits, in accordance with latest industry standards and changing practices;











Analyze and interpret outcomes of data analysis scripts; review outcomes with managers of audited units and make recommendations;











Develop data visualization reports (e.g. Power BI) to present information in a credible, compelling way;











Help with other team tasks, as requested.











Qualifications











As our ideal candidate,











You have 2 to 5 years of experience in internal auditing and/or business intelligence;











You have Bachelor’s degree in IT, business administration, management, accounting or a related field; Masters an asset











You have advanced knowledge of Excel, and data analysis and visualization tools (e.g.Power BI);











You have advanced knowledge of SQL, ACL, Alteryx, an asset;











You have knowledge of SAP, Concur, Salesforce systems;











You have CPA, CIA, CISA or CFE designation, an asset;











You have and understanding of industry best practices, especially those related to data modelling and standardization;











You have a keen sense of initiative, agility and adaptability in a constantly changing environment;











You have an analytical mindset with a talent for solving complex problems and formulating recommendations;











You have in-depth knowledge of Microsoft Office 365 tools (SharePoint, OneDrive, OneNote, Teams);











You have curiosity and business sense;











You have excellent written and spoken French and English;











You are a team player with strong interpersonal skills;











You are meticulous, organized and self-motivated;











You are available to travel up to 15% of the time.











Bombardier is an equal opportunity employer and encourages women, Aboriginal people, persons with disabilities and members of visible minorities to apply.











Whether your candidacy is moving on to the next step of the hiring process or not, we will keep you informed by email or by phone. Join us at careers.bombardier.com











Your ideas move people.











Job: Audit





Primary Location: CA-QC-Montreal Dorval





Organization: Aerospace





Schedule: Full-time





Employee Status: Regular











Job Posting: 17.10.2020, 2:38:15 PM











Unposting Date: Ongoing",,Transportation Equipment Manufacturing,Dorval,Data Analyst - Internal Audit,3.4,$10+ billion (USD),Manufacturing,10000+ Employees,Company - Private,1942

248,Thales,"Location: Quebec City, CanadaDans des marchés en rapide évolution, les clients travers le monde font confiance Thales. Thales est une entreprise où les personnes les plus brillantes du monde entier se regroupent pour mettre en commun leurs idées et ainsi s'inspirer mutuellement. Dans tous les secteurs où œuvre Thales, notamment laérospatiale, le transport, la défense, la sécurité et l'espace, nos équipes darchitectes conçoivent des solutions innovantes qui rendent demain possible dès aujourdhui.TRT-Canada est reconnu pour être un véritable pôle dinnovation technologique qui façonne loffre de Thales aussi bien au Canada que sur les marchés de l'exportation. Le rôle de Thales Recherche et Technologie (TRT) est d'étendre l'influence de Thales au sein des communautés scientifiques et techniques, proposant une plate-forme pour l'innovation et le partage des connaissances tout en attirant de talentueux diplômés en sciences qui viendront parfaire son expertise.In fast changing markets, customers worldwide rely on Thales. Thales is a business where brilliant people from all over the world come together to share ideas and inspire each other. In aerospace, transportation, defence, security and space, our architects design innovative solutions that make our tomorrow's possible.TRT-Canada is recognized as a multi-technology innovation house that shapes Thales offering in Canada and on export markets. The role of Thales Research and Technology (TRT) is to extend the influence of Thales within the scientific and technical communities, offering a platform for innovation and knowledge sharing, and attracting talented science graduates to build on our acquired expertise.











RAISON DÊTRE:











Les chercheurs sont principalement impliqués dans la planification, la conduite et l'analyse d'expériences, pour une utilisation finale définie (développer de nouveaux produits, procédés ou applications commerciales) ou pour élargir la connaissance scientifique en général. Bien que la recherche soit souvent effectuée sur une base individuelle, le chargé de recherche et technologie travaille généralement au sein d'une équipe plus large et une partie de son travail consiste organiser des rencontres périodiques de suivis afin dinformer le gestionnaire R&T ainsi que la direction technique.











MISSIONS PRINCIPALES:





Effectuer des travaux en laboratoire ou sur le terrain pour soutenir une étude / expérimentation





Traiter et analyser des données et des résultats





Se tenir au courant des développements scientifiques et techniques pertinents en vue dorchestrer une feuille de route





Contribuer la visibilité de la R&T en participant la publication darticles scientifiques et techniques, la création d'affiches, la présentation des travaux de recherche lors de conférences (invité), ou la soumission de propositions d'idées ou projets (concours)





Soutenir une proposition et cahier des charges;





Soutenir le démarrage de projet, et jalons (Revue Technique, Transfer Technologique);





Identifier de nouvelles propositions de recherche incluant des collaborations avec les écosystèmes académiques et industriels





Participer des évaluations par les pairs (peer-review) de travaux scientifiques





La gestion administrative de projet, des contrats liés aux projets, du co-financement, de la protection intellectuelle, au financement Institutionnel, Gouvernemental, ainsi que les crédits la recherche





La rédaction des minutes meeting reliés lavancement des projets





Participer aux activités de recrutement de personnel ou de subvention





Agir en tant que Conseiller Technique lors de jury, rencontre, événement, atelier de travail, et développement des affaires





Contribuer un atelier / groupe de travail





Veiller ce que les normes de qualité soient respectées





Développer des solutions originales aux problèmes





Rencontres de projets avec le client: démontrer / expliquer les résultats de la R&T aux parties prenantes





Supervision : en collaboration avec le product owner, suivre lexécution des tâches de recherche (sprint planning, task breakdown, backlog), évaluation technologique (spike, whitepaper), ou personnel qui développe la technologie (sprint review, retrospective)





Supervision de technicien, stagiaire, junior, apprenti, professionnel de recherche ainsi que chargé de technologie dans lexécution de leur mission de recherche





Conception de solutions logicielles ou systèmes dans le but de résoudre un verrou scientifique, technique ou opérationnel





EXIGENCES TECHNIQUES ET REQUIS :





Maîtrise / Doctorat en génie industriel, en génie logiciel, en informatique ou en mathématique. Un baccalauréat dans une autre discipline de lingénierie ou en informatique combiné avec de lexpérience complémentaire est également acceptable





3-5 années dexpérience





Connaissance des logiciels Primavera P6 et Microsoft Project





Connaissance approfondie de la programmation par contrainte (langage MiniZinc, solver Chuffed)





Connaissance approfondie du mixed-integer linear programming (modèles programmés en C++ et python, solver CPLEX et/ou GUROBI)





Connaissances des techniques de serial schedule generation schemes, large neighbourhood search, et méthodes de matheuristics





Connaissance des problèmes de type « Resource Constrained Project Scheduling Problem » (RCPSP)





Connaissance des processus décisionnel Markov, hierarchical MDP, agent-based modeling





Connaissance en allocation de ressource (optimisation combinatoire), systèmes daide la décision, et programmation linéaire et quadratique





Atouts: apprentissage par renforcement et algorithmes génétiques





Bonne maîtrise du français parlé et écrit; la maitrise de langlais est un atout mais non une exigence.





Atout : être éligible lobtention dune cote de fiabilité ou de sécurité exigées par les contrats du gouvernement fédéral





Avoir de la curiosité intellectuelle, le gout dapprendre et de se diversifier est essentiel





Avoir des aptitudes pour le travail en équipe et favoriser lintelligence collective





Un sens aigu de la qualité et des bonnes pratiques





Job Purpose:











Research Scientists are primarily involved in planning, conducting and analyzing experiments, either with a definite end use (to develop new products, processes or commercial applications) or to broaden scientific understanding in general. Although research is often carried out on an individual basis, Research and Technology Lead usually work as part of a larger team and part of the job is to organize periodic follow-up meetings in order to inform the R&T manager as well as the technical direction.











Key Job Functions:





Project meetings with the client: demonstrate / explain R&T results to stakeholders





Supervision: in collaboration with the product owner, follow the execution of research tasks (sprint planning, task breakdown, backlog), technological assessment (spike, whitepaper), or personnel who develop the technology (sprint review, retrospective)





Supervision of technician, intern, junior, apprentice, research professional as well as technology lead in the execution of their research mission





Design of software solutions or systems in order to resolve a scientific, technical or operational issue





Carry out laboratory or in the field work to support a study / experiment





Process and analyze data and results





Keep abreast of relevant scientific and technical developments in order to lead a roadmap





Contribute to R&T visibility by participating in the publication of scientific and technical papers, the creation of posters, the presentation of research work at conferences (guest), or the submission of ideas or projects proposals (competition)





Support proposal and statement of work





Support project kick-off, and milestones (Technical Review, Technology Transfer)





Identify new research proposals including collaborations with academic and industrial ecosystems





Participate in peer-review of scientific work





Management of project, contracts linked to projects, co-financing, intellectual property, Institutional and Governmental funding, as well as research credits





Drafting of meeting minutes related to the progress of projects





Participate in recruitment activities - staff or grants





Act as Technical Advisor during jury, meeting, event, workshop, and business development





Contribute to a workshop / working group





Ensure that quality standards are met





Develop original solutions to problems





Key Skill Requirements:





Masters / Doctorate degree in computer engineering, software engineering, computer science or mathematics. A bachelors degree in other engineering discipline or computer science combined with a complementary experience is also acceptable





3-5 years of experiences





Knowledge of Primavera P6 and Microsoft Project software





In-depth knowledge of constraint programming (MiniZinc language, Chuffed solver)





In-depth knowledge of mixed-integer linear programming (models programmed in C ++ and python, CPLEX solver and / or GUROBI)





Knowledge of serial schedule generation schemes, large neighborhood search techniques, and matheuristics methods





Knowledge of Resource Constrained Project Scheduling Problem (RCPSP) type problems





Knowledge of Markov decision making, hierarchical MDP, agent-based modeling





Knowledge of resource allocation (combinatorial optimization), decision support systems, and linear and quadratic programming





Asset: reinforcement learning and genetic algorithms





Fluent in French spoken and written; fluency in English is an asset but not a requirement





Asset: be eligible for a reliability or security clearance required by federal government contracts





Intellectual curiosity, the desire to learn and to diversify is essential





Have skills for teamwork and foster collective intelligence





A keen sense of quality and good practices





Chez Thales, nous proposons des CARRIÈRES passionnantes, pas de simples emplois. Fort de ses 80 000 collaborateurs dans 68 pays, Thales a mis en place une politique de mobilité permettant, chaque année, des milliers d'employés de faire progresser leur carrière tant dans leur domaine dexpertise que dans de nouveaux domaines de compétences, cela aussi bien dans leur pays dorigine qu l'étranger. Ensemble, nous pensons quadopter une politique de flexibilité est une manière plus actuelle de travailler. Cest ici que commence votre parcours exceptionnel, postulez sans tarder!At Thales we provide CAREERS and not only jobs. With Thales employing 80,000 employees in 68 countries our mobility policy enables thousands of employees each year to develop their careers at home and abroad, in their existing areas of expertise or by branching out into new fields. Together we believe that embracing flexibility is a smarter way of working. Great journeys start here, apply now!Thales sengage promouvoir un lieu de travail diversifié et inclusif pour tous. Thales sengage fournir des accommodements toute les étapes du processus de recrutement. Les candidats retenus pour une entrevue qui ont besoin daccommodement sont priés den informer la suite de linvitation pour une entrevue. Nous travaillerons avec vous pour répondre vos besoins. Toutes les informations relatives l'accommodement fourni seront traitées de manière confidentielle et utilisées uniquement dans le but de fournir une expérience de candidat accessible.Thales is committed to a diverse and inclusive workplace for all. Thales is committed to providing accommodations in all parts of the interview process. Applicants selected for an interview who require accommodation are asked to advise accordingly upon the invitation for an interview. We will work with you to meet your needs. All accommodation information provided will be treated as confidential and used only for the purpose of providing an accessible candidate experience.",,Aerospace & Defense,Quebec,Optimization Operational Research Scientist,3.8,$10+ billion (USD),Aerospace & Defense,10000+ Employees,Company - Public,2000

249,GLF Schools,"GLF SchoolsSurrey





Salary: £15,000 per annum





Contract type: Full Time





Contract term: Permanent





Date Posted: 16 Nov 2020





Closing date: 30 Nov 2020





Start date: asap





Your Opportunity




